"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R5","0603R","62.397mm","38.862mm","62.397mm","38.862mm","61.5715mm","38.862mm","T","360.00","10K"
"R6","0603R","66.08mm","38.8112mm","66.08mm","38.8112mm","66.08mm","37.9857mm","T","90.00","3K"
"R7","1206R","9.438mm","13.208mm","9.438mm","13.208mm","7.66mm","13.208mm","T","360.00","1M"
"R8","0603R","13.1591mm","36.0934mm","13.1591mm","36.0934mm","12.3336mm","36.0934mm","T","360.00","1.5k"
"R9","1206R","17.058mm","13.1826mm","17.058mm","13.1826mm","15.28mm","13.1826mm","T","360.00","120R"
"R10","0603R","26.456mm","62.5602mm","26.456mm","62.5602mm","26.456mm","61.7347mm","T","90.00","10K"
"R11","0603R","16.3595mm","36.0934mm","16.3595mm","36.0934mm","17.185mm","36.0934mm","T","180.00","1.5k"
"R12","0603R","28.9706mm","62.5602mm","28.9706mm","62.5602mm","28.9706mm","61.7347mm","T","90.00","10K"
"R16","0603R","52.8574mm","55.7784mm","52.8574mm","55.7784mm","53.6829mm","55.7784mm","T","180.00","10K"
"R18","1206R","30.647mm","13.3096mm","30.647mm","13.3096mm","28.869mm","13.3096mm","T","360.00","1M"
"R19","0603R","31.663mm","35.8648mm","31.663mm","35.8648mm","30.8375mm","35.8648mm","T","360.00","1.5k"
"R20","1206R","35.8032mm","11.2776mm","35.8032mm","11.2776mm","35.8032mm","9.4996mm","T","90.00","120R"
"R21","0603R","35.0666mm","35.8394mm","35.0666mm","35.8394mm","35.8921mm","35.8394mm","T","180.00","1.5k"
"TVS1","3528TVS","11.792mm","4.8028mm","11.7856mm","6.5786mm","11.792mm","6.5808mm","T","90.00","BA301N"
"TVS2","3528TVS","17.111mm","9.6964mm","18.8868mm","9.7028mm","18.889mm","9.6964mm","T","360.00","BA301N"
"TVS3","3528TVS","30.34mm","10.1664mm","28.5642mm","10.16mm","28.562mm","10.1664mm","T","180.00","BA301N"
"TVS4","3528TVS","32.0884mm","4.5444mm","32.0948mm","2.7686mm","32.0884mm","2.7664mm","T","270.00","BA301N"
"U1","LQFP-80","51.1448mm","44.6278mm","51.1448mm","44.6278mm","55.8948mm","51.5278mm","T","180.00","LPC1756FBD80"
"U2","SOP8","19.9474mm","48.571mm","17.4136mm","50.4698mm","17.4074mm","50.476mm","T","360.00","EUP3484"
"U4","CTM8251KT","11.938mm","25.019mm","8.128mm","32.639mm","8.128mm","32.639mm","T","270.00","CTM8251"
"U6","CTM8251KT","30.2406mm","24.9936mm","26.4306mm","32.6136mm","26.4306mm","32.6136mm","T","270.00","CTM8251"
"Y1","ZS_SMD","43.4486mm","57.785mm","39.1306mm","57.785mm","39.1306mm","57.785mm","T","360.00","12M"
"C17","0603C","14.4926mm","53.0606mm","14.4926mm","53.0606mm","13.6671mm","53.0606mm","T","360.00","103"
"C49","0603C","47.3602mm","29.7434mm","47.3602mm","29.7434mm","48.1857mm","29.7434mm","T","180.00","104"
"C51","0603C","68.8994mm","29.8958mm","68.8994mm","29.8958mm","68.0739mm","29.8958mm","T","360.00","104"
"C65","0603C","47.411mm","31.5214mm","47.411mm","31.5214mm","46.5855mm","31.5214mm","T","360.00","103"
"C68","0603C","68.8994mm","31.6484mm","68.8994mm","31.6484mm","69.7249mm","31.6484mm","T","180.00","104"
"D12","1206D","45.7346mm","27.686mm","45.7346mm","27.686mm","44.0201mm","27.686mm","T","360.00","1N4007"
"D14","1206D","67.5024mm","27.6098mm","67.5024mm","27.6098mm","65.7879mm","27.6098mm","T","360.00","1N4007"
"DC1","C100UF16VEJ","20.2085mm","58.5734mm","23.4842mm","58.5724mm","23.4844mm","58.5834mm","T","180.00","100uF/25V"
"DC2","C100UF16VEJ","10.7071mm","58.5534mm","7.4314mm","58.5544mm","7.4312mm","58.5434mm","T","360.00","100uF/25V"
"J6","KF2EDG-8P-3.81mm","50.927mm","5.1816mm","37.592mm","5.1816mm","37.592mm","5.1816mm","T","360.00","CON8"
"L1","LC7*7*3_L","10.8204mm","48.3108mm","10.8204mm","48.3108mm","13.4204mm","48.3108mm","T","180.00","22uH"
"LED2","D0805","40.8492mm","28.8014mm","40.8578mm","29.9466mm","40.8492mm","29.9444mm","T","0.00","RED"
"LED4","D0805","62.236mm","28.903mm","62.2446mm","30.0482mm","62.236mm","30.046mm","T","0.00","RED"
