Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 217000  Y 105800
X 199600  Y 110400
X 232800  Y 150000
X 190000  Y 159000
X 217000  Y 168000
X 209000  Y 377500
X 229000  Y 378500
X 222500  Y 378500
X 236500  Y 379000
X 215000  Y 379000
X 243500  Y 390500
X 241500  Y 394500
X 263200  Y 382800
X 273600  Y 378800
X 264000  Y 149600
X 282000  Y 121600
X 272400  Y 112400
X 273200  Y 104400
X 280400  Y 102800
X 301600  Y 102800
X 287600  Y 102400
X 294400  Y 102000
X 256400  Y 76800
X 326000  Y 94800
X 364000  Y 118800
X 373600  Y 132000
X 388000  Y 146000
X 388000  Y 151000
X 388000  Y 155500
X 388000  Y 160000
X 388000  Y 165000
X 388000  Y 170000
X 388000  Y 174500
X 388000  Y 179000
X 388500  Y 198000
X 402500  Y 210500
X 384400  Y 332000
X 399500  Y 340000
X 392500  Y 361000
X 385000  Y 367000
X 360000  Y 391000
X 380000  Y 391200
X 400000  Y 391600
X 390000  Y 409000
X 370000  Y 409000
X 370000  Y 462000
X 390000  Y 463000
X 450000  Y 463000
X 410000  Y 462500
X 430000  Y 462000
X 450000  Y 410000
X 410000  Y 409000
X 430000  Y 409000
X 420000  Y 392000
X 440000  Y 392000
X 434500  Y 370000
X 419500  Y 370000
X 445500  Y 362500
X 450000  Y 356500
X 446000  Y 346800
X 427000  Y 319500
X 434000  Y 245500
X 420000  Y 245500
X 413000  Y 245500
X 406000  Y 245500
X 441000  Y 245500
X 448000  Y 245500
X 427000  Y 245500
X 415000  Y 168000
X 447500  Y 164000
X 503000  Y 119500
X 487000  Y 135500
X 468500  Y 164500
X 462500  Y 164500
X 483500  Y 165000
X 454000  Y 180500
X 462000  Y 180500
X 455000  Y 245000
X 467000  Y 249000
X 493500  Y 266000
X 460000  Y 392000
X 470000  Y 410000
X 484000  Y 443500
X 497000  Y 445000
X 470000  Y 463000
X 497000  Y 464500
X 484000  Y 465500
X 506000  Y 461500
X 506000  Y 445000
X 516500  Y 404000
X 535500  Y 342000
X 521000  Y 296000
X 509500  Y 295000
X 513000  Y 139500
X 534000  Y 139500
X 548400  Y 131200
X 533000  Y 117500
X 545200  Y 116800
X 527200  Y 80000
X 539200  Y 80000
X 575000  Y 117000
X 575500  Y 138000
X 623500  Y 225500
X 611000  Y 228500
X 617221  Y 233000
X 577000  Y 261000
X 616500  Y 278500
X 613500  Y 291500
X 559000  Y 344500
X 620000  Y 344500
X 589000  Y 344500
X 690000  Y 397000
X 700500  Y 396000
X 686000  Y 360000
X 650000  Y 343000
X 661500  Y 322500
X 674000  Y 321000
X 640400  Y 178400
X 648000  Y 146500
X 708500  Y 318000

Drill: .01969  Tool: 3  Feed: 95  Speed: 300
X 19671  Y 11202
X 13452  Y 14076
X 26080  Y 14175
X 11227  Y 19692
X 28116  Y 19692
X 25757  Y 25518
X 13589  Y 25562
X 19716  Y 28091
X 19671  Y 483643
X 13452  Y 486517
X 26080  Y 486616
X 11227  Y 492133
X 28116  Y 492133
X 25757  Y 497959
X 13589  Y 498003
X 19716  Y 500532
X 728359  Y 500608
X 721950  Y 497635
X 719914  Y 492118
X 722274  Y 486292
X 728314  Y 483719
X 728377  Y 28091
X 722250  Y 25562
X 719888  Y 19692
X 722114  Y 14076
X 728333  Y 11202
X 734742  Y 14175
X 736778  Y 19692
X 734418  Y 25518
X 734442  Y 486248
X 736804  Y 492118
X 734578  Y 497734

Drill: .025  Tool: 4  Feed: 197  Speed: 550
X 13600  Y 45600
X 22000  Y 46000
X 6000  Y 46400
X 6000  Y 54000
X 14000  Y 54000
