"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C4","0603C","66.1035mm","65.786mm","66.1035mm","65.786mm","66.1035mm","66.6115mm","T","270.00","104"
"C6","0603C","77.089mm","67.818mm","77.089mm","67.818mm","77.089mm","66.9925mm","T","90.00","104"
"C8","0603C","87.63mm","67.945mm","87.63mm","67.945mm","87.63mm","67.1195mm","T","90.00","104"
"C9","0603C","89.408mm","67.945mm","89.408mm","67.945mm","89.408mm","67.1195mm","T","90.00","104"
"C10","0603C","98.679mm","46.863mm","98.679mm","46.863mm","97.8535mm","46.863mm","T","360.00","104"
"C17","0603C","34.163mm","54.991mm","34.163mm","54.991mm","34.163mm","55.8165mm","T","270.00","103"
"C18","0805C","14.6222mm","53.6429mm","14.605mm","52.578mm","14.6222mm","52.5634mm","T","90.00","0.1uF"
"C19","0603C","23.674mm","60.071mm","23.674mm","60.071mm","23.674mm","59.2455mm","T","90.00","104"
"C21","0603C","21.642mm","56.7055mm","21.642mm","56.7055mm","21.642mm","55.88mm","T","90.00","3.9nF"
"C20","0603C","26.595mm","74.549mm","26.595mm","74.549mm","27.4205mm","74.549mm","T","180.00","104"
"C22","0603C","29.972mm","72.898mm","29.972mm","72.898mm","29.1465mm","72.898mm","T","360.00","104"
"C46","0603C","66.346mm","48.387mm","66.346mm","48.387mm","66.346mm","47.5615mm","T","90.00","22P"
"C24","0603C","44.629mm","44.636mm","44.629mm","44.636mm","44.629mm","43.8105mm","T","90.00","104"
"C25","0603C","53.519mm","44.831mm","53.519mm","44.831mm","53.519mm","44.0055mm","T","90.00","104"
"C48","0603C","66.346mm","45.212mm","66.346mm","45.212mm","66.346mm","46.0375mm","T","270.00","22P"
"C30","1206C","110.669mm","99.6315mm","110.669mm","101.346mm","110.669mm","101.346mm","T","270.00","103/2KV/1206"
"C27","0603C","45.391mm","54.542mm","45.391mm","54.542mm","44.5655mm","54.542mm","T","360.00","104"
"C28","0603C","54.027mm","53.653mm","54.027mm","53.653mm","54.027mm","52.8275mm","T","90.00","104"
"C34","CA1206","124.0175mm","72.4022mm","122.301mm","72.39mm","122.303mm","72.4022mm","T","180.00","10uF"
"C35","0603C","122.936mm","75.057mm","122.936mm","75.057mm","122.1105mm","75.057mm","T","360.00","104"
"C45","0603C","66.092mm","56.769mm","66.092mm","56.769mm","66.092mm","55.9435mm","T","90.00","22P"
"C47","0603C","66.092mm","53.467mm","66.092mm","53.467mm","66.092mm","54.2925mm","T","270.00","22P"
"C31","0603C","55.424mm","83.312mm","55.424mm","83.312mm","56.2495mm","83.312mm","T","180.00","0.1uF"
"C32","0603C","52.249mm","87.9475mm","52.249mm","87.9475mm","52.249mm","87.122mm","T","90.00","0.1uF"
"C33","0603C","52.249mm","91.6305mm","52.249mm","91.6305mm","52.249mm","92.456mm","T","270.00","1uF"
"C38","1206C","131.497mm","99.7585mm","131.497mm","98.044mm","131.497mm","98.044mm","T","90.00","103/2KV/1206"
"C36","0603C","58.726mm","83.312mm","58.726mm","83.312mm","59.5515mm","83.312mm","T","180.00","0.1uF"
"C37","0603C","62.028mm","83.312mm","62.028mm","83.312mm","62.8535mm","83.312mm","T","180.00","0.1uF"
"C39","CA1206","142.9405mm","72.2752mm","141.224mm","72.263mm","141.226mm","72.2752mm","T","180.00","10uF/16V"
"C40","0603C","142.113mm","74.803mm","142.113mm","74.803mm","142.9385mm","74.803mm","T","180.00","0.1uF"
"C41","0603C","111.685mm","57.15mm","111.685mm","57.15mm","110.8595mm","57.15mm","T","360.00","104"
"C26","0603C","104.7mm","74.676mm","104.7mm","74.676mm","104.7mm","75.5015mm","T","270.00","104"
"C42","0603C","52.122mm","60.198mm","52.122mm","60.198mm","52.122mm","61.0235mm","T","270.00","104"
"C43","0603C","53.773mm","60.198mm","53.773mm","60.198mm","53.773mm","61.0235mm","T","270.00","104"
"C44","CA1206","49.582mm","61.5315mm","49.5698mm","63.248mm","49.582mm","63.246mm","T","90.00","10uF/16V"
"C49","0603C","14.276mm","29.845mm","14.276mm","29.845mm","14.276mm","29.0195mm","T","90.00","104"
"C61","0603C","62.992mm","12.827mm","62.992mm","12.827mm","62.1665mm","12.827mm","T","360.00","104"
"C62","0603C","62.611mm","28.575mm","62.611mm","28.575mm","61.7855mm","28.575mm","T","360.00","104"
"C97","0603C","85.65mm","12.827mm","85.65mm","12.827mm","86.4755mm","12.827mm","T","180.00","0.1uF"
"C98","0603C","85.471mm","28.575mm","85.471mm","28.575mm","84.6455mm","28.575mm","T","360.00","104"
"C77","0805C","126.2552mm","10.5899mm","126.238mm","9.525mm","126.2552mm","9.5104mm","T","90.00","104"
"C65","0603C","14.276mm","33.147mm","14.276mm","33.147mm","14.276mm","33.9725mm","T","270.00","103"
"C82","0603C","79.9985mm","12.827mm","79.9985mm","12.827mm","79.173mm","12.827mm","T","360.00","104"
"C83","0603C","79.756mm","28.575mm","79.756mm","28.575mm","78.9305mm","28.575mm","T","360.00","104"
"C71","0805C","147.1758mm","24.3351mm","147.193mm","25.4mm","147.1758mm","25.4146mm","T","270.00","104"
"C80","0603C","74.093mm","12.827mm","74.093mm","12.827mm","73.2675mm","12.827mm","T","360.00","104"
"C81","0603C","73.914mm","28.575mm","73.914mm","28.575mm","73.0885mm","28.575mm","T","360.00","104"
"C53","0603C","112.395mm","43.18mm","112.395mm","43.18mm","112.395mm","42.3545mm","T","90.00","103"
"C64","0603C","68.326mm","28.575mm","68.326mm","28.575mm","67.5005mm","28.575mm","T","360.00","104"
"C56","CA1206","152.0805mm","30.2138mm","153.797mm","30.226mm","153.795mm","30.2138mm","T","360.00","10uF/16V"
"C59","0603C","152.019mm","44.069mm","152.019mm","44.069mm","152.8445mm","44.069mm","T","180.00","104"
"C60","0603C","152.019mm","42.164mm","152.019mm","42.164mm","152.8445mm","42.164mm","T","180.00","103"
"C58","0805C","152.0679mm","39.9878mm","151.003mm","40.005mm","150.9884mm","39.9878mm","T","360.00","1uF"
"C69","0603C","133.731mm","43.561mm","133.731mm","43.561mm","133.731mm","44.3865mm","T","270.00","104"
"C70","0603C","142.875mm","39.624mm","142.875mm","39.624mm","142.0495mm","39.624mm","T","360.00","104"
"C72","0603C","108.331mm","39.243mm","108.331mm","39.243mm","108.331mm","40.0685mm","T","270.00","104"
"C73","0603C","69.2785mm","41.148mm","69.2785mm","41.148mm","68.453mm","41.148mm","T","360.00","104"
"C74","0603C","69.2785mm","42.799mm","69.2785mm","42.799mm","68.453mm","42.799mm","T","360.00","103"
"C75","0603C","99.187mm","43.942mm","99.187mm","43.942mm","98.3615mm","43.942mm","T","360.00","104"
"C76","0603C","99.187mm","42.291mm","99.187mm","42.291mm","98.3615mm","42.291mm","T","360.00","104"
"C78","0805C","131.1738mm","44.0201mm","131.191mm","45.085mm","131.1738mm","45.0996mm","T","270.00","104"
"C52","0603C","25.452mm","29.845mm","25.452mm","29.845mm","25.452mm","30.6705mm","T","270.00","104"
"C66","0603C","25.452mm","33.147mm","25.452mm","33.147mm","25.452mm","32.3215mm","T","90.00","104"
"D1","1206D","6.604mm","53.467mm","6.604mm","53.467mm","6.604mm","51.7525mm","T","90.00","1N4007"
"D2","1206D","10.414mm","53.467mm","10.414mm","53.467mm","10.414mm","51.7525mm","T","90.00","1N4007"
"D9","1206D","55.805mm","49.784mm","55.805mm","49.784mm","54.0905mm","49.784mm","T","360.00","1N4148"
"D4","D0805","75.7462mm","71.8734mm","74.601mm","71.882mm","74.6032mm","71.8734mm","T","90.00","LED"
"D7","D0805","112.193mm","74.803mm","111.0478mm","74.8116mm","111.05mm","74.803mm","T","90.00","RED"
"D8","D0805","112.193mm","71.755mm","111.0478mm","71.7636mm","111.05mm","71.755mm","T","90.00","RED"
"D10","D0805","132.386mm","74.549mm","131.2408mm","74.5576mm","131.243mm","74.549mm","T","90.00","LED"
"D11","D0805","132.3882mm","71.4924mm","131.243mm","71.501mm","131.2452mm","71.4924mm","T","90.00","LED"
"D5","D0805","95.429mm","74.803mm","94.2838mm","74.8116mm","94.286mm","74.803mm","T","90.00","LED"
"D6","D0805","95.4312mm","71.8734mm","94.286mm","71.882mm","94.2882mm","71.8734mm","T","90.00","LED"
"D12","1206D","8.688mm","29.718mm","8.688mm","29.718mm","6.9735mm","29.718mm","T","360.00","1N4007"
"D15","1206D","19.61mm","29.718mm","19.61mm","29.718mm","17.8955mm","29.718mm","T","360.00","1N4007"
"DC1","C100UF16VEJ","13.8693mm","64.771mm","17.145mm","64.77mm","17.1452mm","64.781mm","T","180.00","220uF/25V"
"DC2","C100UF16VEJ","13.8693mm","72.3275mm","17.145mm","72.3265mm","17.1452mm","72.3375mm","T","180.00","220uF/25V"
"DC5","CA1206","136.4595mm","38.2148mm","138.176mm","38.227mm","138.174mm","38.2148mm","T","360.00","10uF,16V"
"DC10","C100UF16VEJ","54.8903mm","67.692mm","58.166mm","67.691mm","58.1662mm","67.702mm","T","180.00","100uF/16V"
"DC11","C100UF16VEJ","137.0593mm","22.734mm","140.335mm","22.733mm","140.3352mm","22.744mm","T","180.00","100uF/25V"
"J4","KF2EDG-4P-3.81mm","136.271mm","5.842mm","130.556mm","5.842mm","130.556mm","5.842mm","T","360.00","HEADER 4"
"L2","1206R","9.0774mm","44.322mm","7.291mm","44.323mm","7.2994mm","44.322mm","T","360.00","1uH"
"L3","1206R","9.0774mm","47.624mm","7.291mm","47.625mm","7.2994mm","47.624mm","T","360.00","1uH"
"L1","LC7*7*3_L","26.67mm","66.802mm","26.67mm","66.802mm","26.67mm","64.202mm","T","90.00","22uH"
"L4","1206R","37.8896mm","57.913mm","39.676mm","57.912mm","39.6676mm","57.913mm","T","180.00","1uH"
