"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"TVS8","3528TVS","70.0312mm","100.9586mm","71.807mm","100.965mm","71.8092mm","100.9586mm","T","360.00","BA301N/NC"
"TVS11","3528TVS","140.9678mm","101.8604mm","139.192mm","101.854mm","139.1898mm","101.8604mm","T","180.00","BA301N"
"TVS3","3528TVS","104.3126mm","100.2008mm","104.319mm","98.425mm","104.3126mm","98.4228mm","T","270.00","BA301N"
"TVS4","3528TVS","98.2208mm","101.2254mm","96.445mm","101.219mm","96.4428mm","101.2254mm","T","180.00","BA301N"
"U1","SOP8","27.247mm","55.372mm","29.7638mm","53.4732mm","29.887mm","53.467mm","T","180.00","EUP3484"
"U4","RSM485","81.205mm","86.2838mm","86.285mm","78.6638mm","86.285mm","78.6638mm","T","180.00","RSM485S_CTM8251T"
"U5","SOP8","48.947mm","47.049mm","47.0482mm","44.5152mm","47.042mm","44.509mm","T","90.00","SP706SEN"
"U8","CTM8251KT","118.1789mm","86.487mm","121.9889mm","78.867mm","121.9889mm","78.867mm","T","90.00","CTM8251"
"U7","SO-16","59.107mm","89.535mm","54.6544mm","86.746mm","54.662mm","86.741mm","T","90.00","SP3232"
"U9","CTM8251KT","137.339mm","86.487mm","141.149mm","78.867mm","141.149mm","78.867mm","T","90.00","CTM8251"
"U10","SOP8","109.145mm","52.959mm","106.6112mm","54.8578mm","106.605mm","54.864mm","T","0.00","FM25CL64"
"U6","RSM485","99.4761mm","86.2838mm","104.5561mm","78.6638mm","104.5561mm","78.6638mm","T","180.00","RSM485S_CTM8251T"
"U11","SOT23","43.105mm","60.1853mm","44.1299mm","59.2454mm","44.121mm","59.2328mm","T","90.00","CJ431"
"U13","ZY1212FKS-2W","126.33mm","23.335mm","132.08mm","13.335mm","126.33mm","15.715mm","T","90.00","ZY1212FKS-2W"
"U12","HCNR201-SMD","121.5mm","43.434mm","127mm","39.624mm","127mm","39.624mm","T","180.00","HCNR201"
"U15","SOP8","105.5432mm","44.0628mm","108.077mm","42.164mm","108.0833mm","42.1578mm","T","180.00","LM358"
"U16","SOT-89","143.4594mm","36.4762mm","142.113mm","37.973mm","142.1194mm","37.9734mm","T","270.00","LM78L05"
"Y2","ZS_SMD","62.536mm","46.482mm","62.536mm","42.164mm","62.536mm","42.164mm","T","90.00","12M"
"Y1","ZS-32.768","60.2715mm","56.4858mm","64.008mm","57.15mm","64.0026mm","57.1462mm","T","180.00","32.768KHz"
"C23","0603C","86.158mm","74.549mm","86.158mm","74.549mm","86.158mm","75.3745mm","T","270.00","104"
"C86","0603C","36.247mm","29.845mm","36.247mm","29.845mm","36.247mm","30.6705mm","T","270.00","104"
"C91","0603C","36.247mm","33.147mm","36.247mm","33.147mm","36.247mm","32.3215mm","T","90.00","104"
"D3","D0805","75.744mm","74.803mm","74.5988mm","74.8116mm","74.601mm","74.803mm","T","90.00","LED"
"D20","1206D","30.786mm","29.718mm","30.786mm","29.718mm","29.0715mm","29.718mm","T","360.00","1N4007"
"LED9","D0805","28.881mm","34.0338mm","28.8896mm","35.179mm","28.881mm","35.1768mm","T","0.00","RED"
"Q10","SOT23","32.818mm","35.3695mm","33.8429mm","34.4295mm","33.834mm","34.417mm","T","90.00","8050"
"R8","0603R","70.993mm","74.803mm","70.993mm","74.803mm","71.8185mm","74.803mm","T","180.00","2K"
"R9","0603R","70.993mm","72.009mm","70.993mm","72.009mm","71.8185mm","72.009mm","T","180.00","2K"
"R10","0603R","84.507mm","97.155mm","84.507mm","97.155mm","83.6815mm","97.155mm","T","360.00","10R"
"R11","0603R","81.205mm","97.155mm","81.205mm","97.155mm","82.0305mm","97.155mm","T","180.00","10R"
"R13","0603R","80.316mm","74.549mm","80.316mm","74.549mm","80.316mm","73.7235mm","T","90.00","100R"
"R14","0603R","77.903mm","97.155mm","77.903mm","97.155mm","78.7285mm","97.155mm","T","180.00","10R"
"R102","0603R","36.247mm","36.449mm","36.247mm","36.449mm","36.247mm","37.2745mm","T","270.00","5.1K"
"R111","0603R","32.945mm","32.512mm","32.945mm","32.512mm","33.7705mm","32.512mm","T","180.00","4.7K"
"R129","0603R","93.853mm","30.607mm","93.853mm","30.607mm","93.853mm","31.4325mm","T","270.00","1K"
"R133","0603R","93.853mm","34.29mm","93.853mm","34.29mm","93.853mm","35.1155mm","T","270.00","3K"
"RL3","HF32F-12V","32.2536mm","18.796mm","29.4596mm","26.416mm","28.4436mm","26.416mm","T","90.00","JQ1P-24V"
"TVS1","3528TVS","88.1836mm","100.2008mm","88.19mm","98.425mm","88.1836mm","98.4228mm","T","270.00","BA301N"
"TVS2","3528TVS","81.967mm","101.092mm","80.1912mm","101.0856mm","80.189mm","101.092mm","T","180.00","BA301N"
"U14","SOP8","139.8332mm","43.9358mm","142.367mm","42.037mm","142.3733mm","42.0308mm","T","180.00","LM358"
"C55","0805C","143.3658mm","24.3351mm","143.383mm","25.4mm","143.3658mm","25.4146mm","T","270.00","104"
"DC3","CA1206","136.4635mm","35.0642mm","134.747mm","35.052mm","134.749mm","35.0642mm","T","180.00","10uF,16V"
"DC4","CA1206","143.7025mm","31.7622mm","141.986mm","31.75mm","141.988mm","31.7622mm","T","180.00","10uF,16V"
"R73","1206R","136.4064mm","28.447mm","134.62mm","28.448mm","134.6284mm","28.447mm","T","360.00","120R"
"R74","1206R","136.4064mm","31.749mm","134.62mm","31.75mm","134.6284mm","31.749mm","T","360.00","120R"
"Z1","1206D","143.764mm","28.575mm","143.764mm","28.575mm","145.4785mm","28.575mm","T","180.00","1N4741"
"UG1","DIP-4","62.5923mm","20.9396mm","61.3147mm","16.383mm","61.3223mm","16.3676mm","T","180.00","PS2501L-1"
"UG2","DIP-4","68.3445mm","20.955mm","67.067mm","16.3984mm","67.0746mm","16.383mm","T","180.00","PS2501L-1"
"UG3","DIP-4","74.0969mm","20.955mm","72.8193mm","16.3984mm","72.8269mm","16.383mm","T","180.00","PS2501L-1"
"UG4","DIP-4","79.8492mm","20.955mm","78.5716mm","16.3984mm","78.5792mm","16.383mm","T","180.00","PS2501L-1"
"UG5","DIP-4","85.6016mm","20.955mm","84.324mm","16.3984mm","84.3316mm","16.383mm","T","180.00","PS2501L-1"
"UG6","DIP-4","91.365mm","20.955mm","92.6426mm","25.5116mm","92.635mm","25.527mm","T","360.00","PS2501L-1"
"R138","0603R","55.805mm","101.092mm","55.805mm","101.092mm","55.805mm","100.2665mm","T","90.00","10R"
"R139","0603R","54.027mm","101.092mm","54.027mm","101.092mm","54.027mm","100.2665mm","T","90.00","10R"
"C110","0603C","91.44mm","28.575mm","91.44mm","28.575mm","90.6145mm","28.575mm","T","360.00","10nF"
"R30","0603R","17.526mm","101.6mm","17.526mm","101.6mm","17.526mm","102.4255mm","T","270.00","10K"
"R31","0603R","20.066mm","101.6mm","20.066mm","101.6mm","20.066mm","102.4255mm","T","270.00","10K"
"C63","0603C","68.3895mm","12.827mm","68.3895mm","12.827mm","67.564mm","12.827mm","T","360.00","104"

