"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R71","0603R","131.445mm","91.694mm","131.445mm","91.694mm","131.445mm","90.8685mm","T","90.00","200"
"R59","0603R","148.5265mm","72.136mm","148.5265mm","72.136mm","147.701mm","72.136mm","T","360.00","10k"
"R62","0603R","132.588mm","52.832mm","132.588mm","52.832mm","132.588mm","53.6575mm","T","270.00","4K7"
"R70","0603R","133.223mm","91.694mm","133.223mm","91.694mm","133.223mm","90.8685mm","T","90.00","200"
"R57","0603R","148.5265mm","73.914mm","148.5265mm","73.914mm","147.701mm","73.914mm","T","360.00","10K"
"R56","0603R","135.636mm","49.911mm","135.636mm","49.911mm","136.4615mm","49.911mm","T","180.00","10R"
"SW1","SW1","59.4461mm","58.028mm","54.991mm","58.039mm","55.3866mm","58.028mm","T","270.00","SW SPST"
"SW3","SW","59.6198mm","62.4916mm","55.626mm","62.484mm","55.6198mm","62.4916mm","T","360.00","°´¼ü"
"SW4","SW1","125.0315mm","49.53mm","129.5456mm","49.519mm","129.032mm","49.53mm","T","90.00","SW SPST"
"TVS1","3528TVS","39.7488mm","11.0554mm","37.973mm","11.049mm","37.9708mm","11.0554mm","T","180.00","BA301N/NC"
"TVS5","3528TVS","144.4118mm","12.3234mm","144.4054mm","14.0992mm","144.4118mm","14.1014mm","T","90.00","BA301N"
"TVS2","3528TVS","46.9922mm","11.0426mm","48.768mm","11.049mm","48.7702mm","11.0426mm","T","360.00","BA301N"
"TVS6","3528TVS","138.4322mm","10.9156mm","140.208mm","10.922mm","140.2102mm","10.9156mm","T","360.00","BA301N"
"TVS3","3528TVS","120.6564mm","11.9402mm","120.65mm","13.716mm","120.6564mm","13.7182mm","T","90.00","BA301N"
"TVS4","3528TVS","126.7482mm","10.9156mm","128.524mm","10.922mm","128.5262mm","10.9156mm","T","360.00","BA301N"
"U2","TO5B","11.6892mm","30.5854mm","18.288mm","27.178mm","18.2892mm","27.1818mm","T","180.00","MIC29302"
"U6","SOP8","61.0808mm","51.8222mm","58.547mm","53.721mm","58.5408mm","53.7272mm","T","360.00","SP706SEN"
"U3","SO-16","102.8624mm","88.905mm","107.315mm","91.694mm","107.3074mm","91.699mm","T","270.00","SP3232"
"U7","CTM8251KT","145.161mm","26.035mm","141.351mm","33.655mm","141.351mm","33.655mm","T","270.00","CTM8251"
"U4","RSM485","127mm","26.035mm","121.92mm","33.655mm","121.92mm","33.655mm","T","360.00","RSM485S_CTM8251T"
"U10","TSOP-6","146.5777mm","85.9109mm","145.415mm","86.868mm","145.4277mm","86.8609mm","T","360.00","NUP4301MR6"
"Y2","ZS_SMD","72.898mm","54.61mm","72.898mm","50.292mm","72.898mm","50.292mm","T","90.00","12M"
"Y1","ZS-32.768","74.2469mm","62.9666mm","77.9834mm","63.6308mm","77.978mm","63.627mm","T","180.00","32.768KHz"
"C49","0603C","118.491mm","80.264mm","118.491mm","80.264mm","118.491mm","81.0895mm","T","270.00","0.1u"
"R55","0603R","148.5265mm","75.692mm","148.5265mm","75.692mm","147.701mm","75.692mm","T","360.00","10K"
"U12","RJ45-2","140.9603mm","102.4905mm","145.415mm","98.552mm","145.4103mm","98.5605mm","T","360.00","FC-256GYNL (or 13F-60FGYDPNW2)"
"C54","0603C","131.953mm","80.137mm","131.953mm","80.137mm","131.953mm","80.9625mm","T","270.00","0.1u"
"R67","0603R","141.4272mm","91.694mm","141.4272mm","91.694mm","141.4272mm","92.5195mm","T","270.00","10[1%]"
"R68","0603R","139.954mm","85.09mm","139.954mm","85.09mm","140.7795mm","85.09mm","T","180.00","82[1%]"
"R2","0603R","63.627mm","102.108mm","63.627mm","102.108mm","63.627mm","102.9335mm","T","270.00","10K"
"R12","0603R","127.254mm","101.346mm","127.254mm","101.346mm","127.254mm","100.5205mm","T","90.00","10R"
"R16","0603R","129.794mm","101.346mm","129.794mm","101.346mm","129.794mm","100.5205mm","T","90.00","10R"
"C38","0603C","136.144mm","66.675mm","136.144mm","66.675mm","136.9695mm","66.675mm","T","180.00","18p"
"C39","0603C","130.175mm","74.93mm","130.175mm","74.93mm","129.3495mm","74.93mm","T","360.00","0.1u"
"C42","0603C","142.621mm","66.675mm","142.621mm","66.675mm","141.7955mm","66.675mm","T","360.00","18p"
"C43","CA1206","124.2675mm","75.2988mm","125.984mm","75.311mm","125.982mm","75.2988mm","T","360.00","4.7uF/6.3V"
"C44","0603C","139.7508mm","91.694mm","139.7508mm","91.694mm","139.7508mm","90.8685mm","T","90.00","0.22u"
"C45","CA1206","114.3122mm","79.0555mm","114.3mm","80.772mm","114.3122mm","80.77mm","T","90.00","22uF/16V"
"C46","CA1206","124.2675mm","78.2198mm","125.984mm","78.232mm","125.982mm","78.2198mm","T","360.00","22uF/16V"
"C47","0603C","138.0744mm","91.694mm","138.0744mm","91.694mm","138.0744mm","90.8685mm","T","90.00","0.068uF"
"C56","0603C","130.429mm","83.566mm","130.429mm","83.566mm","130.429mm","82.7405mm","T","90.00","0.1u"
"D6","1206D","139.192mm","51.562mm","139.192mm","51.562mm","139.192mm","53.2765mm","T","270.00","1N4148"
"R46","0603R","148.5265mm","68.58mm","148.5265mm","68.58mm","147.701mm","68.58mm","T","360.00","10k"
"R47","0603R","148.5265mm","66.802mm","148.5265mm","66.802mm","147.701mm","66.802mm","T","360.00","10k"
"R48","0603R","148.59mm","65.024mm","148.59mm","65.024mm","147.7645mm","65.024mm","T","360.00","10k"
"R49","0603R","130.175mm","73.279mm","130.175mm","73.279mm","131.0005mm","73.279mm","T","180.00","10k"
"R50","0603R","148.5263mm","77.47mm","148.5263mm","77.47mm","149.3518mm","77.47mm","T","180.00","10k"
"R51","0603R","148.5263mm","79.248mm","148.5263mm","79.248mm","149.3518mm","79.248mm","T","180.00","10k"
"R52","0603R","148.5263mm","81.026mm","148.5263mm","81.026mm","149.3518mm","81.026mm","T","180.00","10k"
"R53","0603R","148.5263mm","82.804mm","148.5263mm","82.804mm","149.3518mm","82.804mm","T","180.00","10k"
"R60","0603R","148.5265mm","70.358mm","148.5265mm","70.358mm","147.701mm","70.358mm","T","360.00","10k"
"R61","0603R","139.3825mm","66.675mm","139.3825mm","66.675mm","138.557mm","66.675mm","T","360.00","1M"
"R65","0603R","143.1036mm","91.694mm","143.1036mm","91.694mm","143.1036mm","92.5195mm","T","270.00","49.9[1%]"
"R66","0603R","144.78mm","91.694mm","144.78mm","91.694mm","144.78mm","92.5195mm","T","270.00","49.9[1%]"
"U9","W5500","138.7979mm","76.1998mm","139.192mm","75.946mm","141.5479mm","80.9498mm","T","270.00","W5500"
"Y3","ZS_SMD","139.192mm","63.373mm","134.874mm","63.373mm","134.874mm","63.373mm","T","360.00","25MHz"
"J6","CON6-2.54mm-90","123.444mm","107.823mm","117.094mm","107.823mm","117.094mm","107.823mm","T","360.00","CON6"
"J5","HY-8A-2.00mm","103.266mm","106.124mm","96.266mm","103.124mm","110.266mm","103.124mm","T","180.00","CON8"
"L5","CON02_2.54","113.919mm","97.282mm","113.919mm","94.742mm","113.919mm","98.552mm","T","270.00","0"
