"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C84","0603C","67.0137mm","14.097mm","67.0137mm","14.097mm","66.1882mm","14.097mm","T","360.00","104"
"C83","0603C","72.009mm","28.956mm","72.009mm","28.956mm","71.1835mm","28.956mm","T","360.00","104"
"C82","0603C","71.755mm","14.097mm","71.755mm","14.097mm","70.9295mm","14.097mm","T","360.00","104"
"C81","0603C","66.8443mm","28.956mm","66.8443mm","28.956mm","66.0188mm","28.956mm","T","360.00","104"
"C65","0603C","56.515mm","14.097mm","56.515mm","14.097mm","55.6895mm","14.097mm","T","360.00","104"
"C64","0603C","61.6797mm","28.956mm","61.6797mm","28.956mm","60.8542mm","28.956mm","T","360.00","104"
"C63","0603C","61.7643mm","14.097mm","61.7643mm","14.097mm","60.9388mm","14.097mm","T","360.00","104"
"C62","0603C","56.515mm","28.956mm","56.515mm","28.956mm","55.6895mm","28.956mm","T","360.00","104"
"RL4","HF32F-12V","112.395mm","18.542mm","109.601mm","26.162mm","108.585mm","26.162mm","T","90.00","JQ1P-24V"
"RL3","HF32F-12V","101.6mm","18.542mm","98.806mm","26.162mm","97.79mm","26.162mm","T","90.00","JQ1P-24V"
"RL2","HF32F-12V","90.805mm","18.542mm","88.011mm","26.162mm","86.995mm","26.162mm","T","90.00","JQ1P-24V"
"RL1","HF32F-12V","80.01mm","18.542mm","77.216mm","26.162mm","76.2mm","26.162mm","T","90.00","JQ1P-24V"
"D20","1206D","101.981mm","29.464mm","101.981mm","29.464mm","100.2665mm","29.464mm","T","360.00","1N4007"
"D17","1206D","113.411mm","29.21mm","113.411mm","29.21mm","111.6965mm","29.21mm","T","360.00","1N4007"
"D15","1206D","91.948mm","29.464mm","91.948mm","29.464mm","90.2335mm","29.464mm","T","360.00","1N4007"
"D12","1206D","81.534mm","29.464mm","81.534mm","29.464mm","79.8195mm","29.464mm","T","360.00","1N4007"
"R116","1206R","28.3294mm","11.429mm","26.543mm","11.43mm","26.5514mm","11.429mm","T","360.00","1M"
"C72","1206C","28.2575mm","8.89mm","26.543mm","8.89mm","26.543mm","8.89mm","T","360.00","103/2KV/1206"
"SW2","SW1","125.036mm","54.102mm","129.5546mm","54.091mm","129.032mm","54.102mm","T","90.00","SW SPST"
"R115","R0603","60.579mm","81.661mm","60.579mm","81.661mm","60.579mm","82.4865mm","T","270.00","10K"
"C71","C0603","65.024mm","85.471mm","65.024mm","85.471mm","65.024mm","84.6455mm","T","90.00","0.1uF"
"U15","SOT-143B","68.5165mm","93.6498mm","69.342mm","94.742mm","69.342mm","94.742mm","T","180.00","PRTR5V0U2X"
"U14","MX25L1635E","92.2655mm","44.196mm","89.027mm","46.101mm","89.027mm","46.101mm","T","360.00","MX25L1635DM2I-10G"
"U13","SOP8","114.3mm","60.071mm","112.4012mm","57.5372mm","112.395mm","57.531mm","T","90.00","FM25CL64"
"R89","0603R","59.817mm","93.853mm","59.817mm","93.853mm","59.817mm","93.0275mm","T","90.00","15K"
"R88","0603R","65.532mm","93.853mm","65.532mm","93.853mm","65.532mm","93.0275mm","T","90.00","15K"
"R87","0603R","61.722mm","93.853mm","61.722mm","93.853mm","61.722mm","94.6785mm","T","270.00","33R"
"R86","0603R","63.754mm","93.853mm","63.754mm","93.853mm","63.754mm","94.6785mm","T","270.00","33R"
"R85","0603R","99.0598mm","42.291mm","99.0598mm","42.291mm","99.8853mm","42.291mm","T","180.00","10K"
"R84","0603R","99.06mm","43.942mm","99.06mm","43.942mm","99.8855mm","43.942mm","T","180.00","10K"
"R83","0603R","99.06mm","45.593mm","99.06mm","45.593mm","99.8855mm","45.593mm","T","180.00","10K"
"R82","0603R","85.471mm","45.847mm","85.471mm","45.847mm","84.6455mm","45.847mm","T","360.00","10K"
"R81","0603R","85.471mm","44.196mm","85.471mm","44.196mm","84.6455mm","44.196mm","T","360.00","10K"
"R80","0603R","85.471mm","42.545mm","85.471mm","42.545mm","84.6455mm","42.545mm","T","360.00","10K"
"R79","0603R","116.713mm","66.04mm","116.713mm","66.04mm","116.713mm","66.8655mm","T","270.00","10K"
"R78","0603R","114.935mm","66.04mm","114.935mm","66.04mm","114.935mm","66.8655mm","T","270.00","10K"
"R77","0603R","113.157mm","66.04mm","113.157mm","66.04mm","113.157mm","66.8655mm","T","270.00","10K"
"R76","0603R","111.887mm","54.102mm","111.887mm","54.102mm","111.887mm","53.2765mm","T","90.00","10K"
"R75","0603R","113.665mm","54.102mm","113.665mm","54.102mm","113.665mm","53.2765mm","T","90.00","10K"
"R74","0603R","115.443mm","54.102mm","115.443mm","54.102mm","115.443mm","53.2765mm","T","90.00","10K"
"J10","USB-A","53.142mm","104.225mm","56.642mm","102.87mm","56.642mm","102.87mm","T","180.00","CON5"
"F1","0805R","66.7385mm","98.044mm","67.818mm","98.044mm","67.818mm","98.044mm","T","180.00","0.5A/0805"
"J9","KF2EDG-4P-3.81mm","40.894mm","4.445mm","35.179mm","4.445mm","35.179mm","4.445mm","T","360.00","HEADER 4"
"U11","BUZ","147.28mm","51.943mm","142.24mm","51.943mm","147.32mm","48.143mm","T","360.00","BELL"
"J7","KF2EDG-8P-3.81mm","132.461mm","4.445mm","119.126mm","4.445mm","119.126mm","4.445mm","T","360.00","CON8"
"J1","COM-2.54mm-90","67.564mm","107.95mm","63.754mm","108.458mm","63.754mm","107.95mm","T","360.00","HEADER 4"
"U1","LC-LQFP-144_20x20x05P","96.012mm","62.738mm","96.012mm","62.738mm","85.462mm","71.488mm","T","270.00","LPC1778FBD144"
"R69","0603R","142.494mm","85.852mm","142.494mm","85.852mm","142.494mm","86.6775mm","T","270.00","82[1%]"
"C1","0603C","90.043mm","76.581mm","90.043mm","76.581mm","90.043mm","75.7555mm","T","90.00","104"
"C2","0603C","43.434mm","31.75mm","43.434mm","31.75mm","44.2595mm","31.75mm","T","180.00","104"
"C5","0603C","68.8975mm","40.005mm","68.8975mm","40.005mm","68.8975mm","40.8305mm","T","270.00","104"
"C7","0603C","72.136mm","40.005mm","72.136mm","40.005mm","72.136mm","40.8305mm","T","270.00","104"
"C11","0603C","81.026mm","64.262mm","81.026mm","64.262mm","81.8515mm","64.262mm","T","180.00","104"
"C12","0603C","81.026mm","65.659mm","81.026mm","65.659mm","80.2005mm","65.659mm","T","360.00","104"
"C13","0603C","89.027mm","48.768mm","89.027mm","48.768mm","89.027mm","49.5935mm","T","270.00","104"
"C14","0603C","90.297mm","48.768mm","90.297mm","48.768mm","90.297mm","49.5935mm","T","270.00","104"
"C15","0603C","99.06mm","49.276mm","99.06mm","49.276mm","98.2345mm","49.276mm","T","360.00","104"
"C16","0603C","85.471mm","47.498mm","85.471mm","47.498mm","84.6455mm","47.498mm","T","360.00","103"
"C3","0603C","65.659mm","40.005mm","65.659mm","40.005mm","65.659mm","40.8305mm","T","270.00","104"
"C4","0603C","67.2782mm","40.005mm","67.2782mm","40.005mm","67.2782mm","40.8305mm","T","270.00","104"
"C6","0603C","70.5168mm","40.005mm","70.5168mm","40.005mm","70.5168mm","40.8305mm","T","270.00","104"
"C8","0603C","120.142mm","80.264mm","120.142mm","80.264mm","120.142mm","81.0895mm","T","270.00","104"
"C9","0603C","99.06mm","47.752mm","99.06mm","47.752mm","98.2345mm","47.752mm","T","360.00","104"
"C10","0603C","103.378mm","76.708mm","103.378mm","76.708mm","103.378mm","75.8825mm","T","90.00","104"
"C17","0603C","22.352mm","49.657mm","22.352mm","49.657mm","23.1775mm","49.657mm","T","180.00","104"
"C21","0603C","22.479mm","29.9299mm","22.479mm","29.9299mm","22.479mm","30.7554mm","T","270.00","104"
"C22","0603C","101.981mm","76.708mm","101.981mm","76.708mm","101.981mm","75.8825mm","T","90.00","104"
"C37","0603C","77.597mm","56.388mm","77.597mm","56.388mm","77.597mm","55.5625mm","T","90.00","22P"
"C26","0603C","54.61mm","51.943mm","54.61mm","51.943mm","53.7845mm","51.943mm","T","360.00","104"
"C27","0603C","59.563mm","47.371mm","59.563mm","47.371mm","60.3885mm","47.371mm","T","180.00","104"
"C41","0603C","77.597mm","53.086mm","77.597mm","53.086mm","77.597mm","53.9115mm","T","270.00","22P"
"C28","0603C","68.707mm","50.292mm","68.707mm","50.292mm","68.707mm","49.4665mm","T","90.00","104"
"C29","0603C","68.707mm","55.753mm","68.707mm","55.753mm","68.707mm","56.5785mm","T","270.00","104"
"C36","0603C","76.962mm","65.151mm","76.962mm","65.151mm","77.7875mm","65.151mm","T","180.00","22P"
"C40","0603C","76.962mm","60.833mm","76.962mm","60.833mm","77.7875mm","60.833mm","T","180.00","22P"
"C18","0603C","106.172mm","94.361mm","106.172mm","94.361mm","105.3465mm","94.361mm","T","360.00","0.1uF"
"C19","0603C","109.601mm","89.408mm","109.601mm","89.408mm","109.601mm","90.2335mm","T","270.00","0.1uF"
"C20","0603C","109.601mm","86.106mm","109.601mm","86.106mm","109.601mm","85.2805mm","T","90.00","1uF"
"C30","1206C","147.701mm","13.0175mm","147.701mm","14.732mm","147.701mm","14.732mm","T","270.00","103/2KV/1206"
"C23","0603C","102.997mm","94.361mm","102.997mm","94.361mm","102.1715mm","94.361mm","T","360.00","0.1uF"
"C24","0603C","99.822mm","94.361mm","99.822mm","94.361mm","98.9965mm","94.361mm","T","360.00","0.1uF"
"C31","CA1206","141.0848mm","39.8165mm","141.097mm","38.1mm","141.0848mm","38.102mm","T","270.00","10uF/16V"
"C32","0603C","143.764mm","38.354mm","143.764mm","38.354mm","143.764mm","39.1795mm","T","270.00","0.1uF"
"C25","0603C","121.793mm","38.608mm","121.793mm","38.608mm","121.793mm","37.7825mm","T","90.00","104"
